id;type_document;type_ressource;date_publication;titre_document;url_fichier
34733;Bilans et rapports;Document;2013-10-21;Situation mensuelle de l'état - Septembre 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_09.pdf
34730;Bilans et rapports;Document;2013-09-23;Situation mensuelle de l'état - Août 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_08.pdf
34850;Bilans et rapports;Document;2010-10-20;Situation mensuelle de l'état - Septembre 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_09.pdf
34511;Bilans et rapports;Document;2019-03-22;Situation mensuelle de l'état - Février 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_02.pdf
34532;Bilans et rapports;Document;2018-09-19;Situation mensuelle de l'état - Août 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_08.pdf
34544;Bilans et rapports;Document;2018-05-23;Situation mensuelle de l'état - Avril 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_04.pdf
34586;Bilans et rapports;Document;2017-04-20;Situation mensuelle de l'état - Mars 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_03.pdf
34592;Bilans et rapports;Document;2017-02-21;Situation mensuelle de l'état - Janvier 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_01.pdf
34685;Bilans et rapports;Document;2014-07-18;Situation mensuelle de l'état - Juin 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_06.pdf
34748;Bilans et rapports;Document;2012-09-03;Situation mensuelle de l'état - Janvier 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_01.pdf
34790;Bilans et rapports;Document;2011-04-08;Situation mensuelle de l'état - Février 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_02.pdf
34451;Bilans et rapports;Document;2020-11-20;Situation mensuelle de l'état - Octobre 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_10.pdf
34460;Bilans et rapports;Document;2020-08-21;Situation mensuelle de l'état - Juillet 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_07.pdf
34538;Bilans et rapports;Document;2018-07-23;Situation mensuelle de l'état - Juin 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_06.pdf
34562;Bilans et rapports;Document;2017-12-22;Situation mensuelle de l'état - Novembre 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_11.pdf
34604;Bilans et rapports;Document;2016-10-21;Situation mensuelle de l'état - Septembre 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_09.pdf
34622;Bilans et rapports;Document;2016-04-21;Situation mensuelle de l'état - Mars 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_03.pdf
34643;Bilans et rapports;Document;2015-06-22;Situation mensuelle de l'état - Mai 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_05.pdf
34640;Bilans et rapports;Document;2015-05-22;Situation mensuelle de l'état - Avril 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_04.pdf
34778;Bilans et rapports;Document;2012-12-20;Situation mensuelle de l'état - Novembre 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_11.pdf
120940;Bilans et rapports;Document;2025-04-11;Situation mensuelle de l'Etat - Septembre 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_2025-09.pdf
34415;Bilans et rapports;Document;2021-10-20;Situation mensuelle de l'état - Septembre 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_09.pdf
34466;Bilans et rapports;Document;2020-06-19;Situation mensuelle de l'état - Mai 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_05.pdf
34487;Bilans et rapports;Document;2019-11-22;Situation mensuelle de l'état - Octobre 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_10.pdf
34580;Bilans et rapports;Document;2017-06-21;Situation mensuelle de l'état - Mai 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_05.pdf
